"id","study","farm","plot","block","crop","type","original_coll_date","year","porewater_no3_mgl","porewater_drp_mgl","month","log_no3","log_drp","factor(type, levels = c(""L"", ""S""))"
164,"NREC-lys","ISU","203","2","CR","L",2025-05-02,"2025",1,0.05,5,0.301029995663981,0.0211892990699381,"L"
80,"NREC-lys","ISU","301","3","CR","L",2025-04-03,"2025",3.9,0.05,4,0.690196080028514,0.0211892990699381,"L"
128,"NREC-lys","ISU","301","3","CR","L",2025-04-21,"2025",0.4,0.05,4,0.146128035678238,0.0211892990699381,"L"
176,"NREC-lys","ISU","301","3","CR","L",2025-05-02,"2025",0.4,0.05,5,0.146128035678238,0.0211892990699381,"L"
224,"NREC-lys","ISU","301","3","CR","L",2025-05-21,"2025",0.4,0.05,5,0.146128035678238,0.0211892990699381,"L"
140,"NREC-lys","ISU","403","4","CR","L",2025-04-21,"2025",0.4,0.42,4,0.146128035678238,0.152288344383056,"L"
188,"NREC-lys","ISU","403","4","CR","L",2025-05-02,"2025",0.4,0.05,5,0.146128035678238,0.0211892990699381,"L"
50,"NREC-lys","ISU","101","1","F","L",2025-04-03,"2025",17.7,0.05,4,1.2718416065365,0.0211892990699381,"L"
98,"NREC-lys","ISU","101","1","F","L",2025-04-21,"2025",16,0.5,4,1.23044892137827,0.176091259055681,"L"
146,"NREC-lys","ISU","101","1","F","L",2025-05-02,"2025",20.6,0.05,5,1.33445375115093,0.0211892990699381,"L"
194,"NREC-lys","ISU","101","1","F","L",2025-05-21,"2025",24.2,0.25,5,1.40140054078154,0.0969100130080564,"L"
